Symbol,Name,Sector,Industry,Exchange,ETF,Winners 1,Winners 1 First Seen,Winners 5,Winners 5 First Seen,Winners 10,Winners 10 First Seen,Winners 100,Winners 100 First Seen,Loosers 1,Loosers 1 First Seen,Loosers 5,Loosers 5 First Seen,Loosers 10,Loosers 10 First Seen,Loosers 100,Loosers 100 First Seen,Random 1,Random 1 First Seen,Random 5,Random 5 First Seen,Random 10,Random 10 First Seen,Random 100,Random 100 First Seen,Screener,Screener First Seen,Screener First Seen Close,Financials Market Cap,Financials Total Cash,Financials Total Debt,Financials Quick Ratio,Financials Current Ratio,Financials Total Revenue,Financials Debt To Equity,Financials Return On Assets,Financials Return On Equity,Financials Free Cashflow,Financials Operating Cashflow
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,NYQ,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,33443880960,928000000,6654000128,0.913,1.119,33144000512,72.413,0.03967,0.10905,1299764480,1031000000
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,NMS,XLY,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,1752135368704,89091997696,157841997824,0.84,1.096,604333998080,66.756,0.06584,0.21933001,59191001088,107951996928
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,NMS,XLY,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,638927962112,30720000000,12515000320,1.249,1.911,95317999616,18.606,0.044159997,0.20861,-907249984,11532000256
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,NYQ,XLY,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,345716326400,4264000000,52005998592,0.344,1.339,151830003712,2857.473,0.17042999,13.6297,14720374784,21055000576
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,NYQ,XLY,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,192183353344,792000000,52057001984,0.817,1.075,25757700096,,0.14104,,6290587648,9596900352
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,NYQ,XLY,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,134384189440,3236999936,40307998720,0.166,1.166,85393997824,,0.14817001,,6682625024,10296000512
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,NYQ,XLY,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,125107601408,5058999808,12641999872,0.561,1.229,54912999424,168.515,0.12778,0.66833997,3341250048,6048999936
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,NMS,XLY,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,115426189312,16327000064,17336999936,1.106,1.17,22399000576,,0.14621,,6545500160,7946999808
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,NYQ,XLY,0,,0,,0,,0,,0,,0,,0,,7,2024-06-28 13:35:49.566310,0,,0,,0,,0,,Loosers 100,2024-06-28 13:35:49.566309888,,111462416384,11582000128,11982999552,1.511,2.396,51362000896,83.042,0.11161,0.40093,5901125120,7429000192
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,NMS,XLY,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,85091983360,3391399936,25327300608,0.593,0.89,36475899904,,0.117130004,,2567862528,6504999936
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,NYQ,XLY,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,2024-06-26 13:35:30.900395,Random 100,2024-06-26 13:35:30.900395008,,76074606592,1489815040,4278757888,1.59,1.712,10663233536,115.274,0.13741,0.43535,984370880,1877742976
